Position(mm),Force(kgf),Velocity(mm/s),Time(s)
62.271,0,99.978,0.56
62.271,0,99.978,0.56
62.371,0,99.978,0.56
62.371,0,99.978,0.56
62.471,0,99.983,0.56
62.471,0,99.983,0.56
62.571,0,99.978,0.56
62.571,0,99.978,0.56
62.571,0,99.978,0.56
62.571,0,99.978,0.56
62.671,0,99.978,0.56
62.671,0,99.978,0.56
62.771,0,99.983,0.57
62.771,0,99.983,0.57
62.871,0,99.983,0.57
62.871,0,99.983,0.57
62.971,0,99.983,0.57
62.971,0,99.983,0.57
63.071,0,99.983,0.57
63.071,0,99.983,0.57
63.171,0,99.983,0.57
63.171,0,99.983,0.57
63.271,0,99.983,0.57
63.271,0,99.983,0.57
63.371,0,99.983,0.57
63.371,0,99.983,0.57
63.471,0,99.983,0.57
63.471,0,99.983,0.57
63.571,0,99.983,0.57
63.571,0,99.983,0.57
63.671,0,99.983,0.57
63.671,0,99.983,0.57
63.771,0,99.983,0.58
63.771,0,99.983,0.58
63.871,0,99.983,0.58
63.871,0,99.983,0.58
63.971,0,99.983,0.58
63.971,0,99.983,0.58
64.071,0,99.989,0.58
64.071,0,99.989,0.58
64.171,0,99.989,0.58
64.171,0,99.989,0.58
64.271,0,100,0.58
64.271,0,100,0.58
64.371,0,100,0.58
64.371,0,100,0.58
64.371,0,100,0.58
64.371,0,100,0.58
64.471,0,99.994,0.58
64.471,0,99.994,0.58
64.571,0,100,0.58
64.571,0,100,0.58
64.671,0,99.994,0.58
64.671,0,99.994,0.58
64.771,0,99.994,0.59
64.771,0,99.994,0.59
64.871,0,99.994,0.59
64.871,0,99.994,0.59
64.971,0,100,0.59
64.971,0,100,0.59
65.071,0,100,0.59
65.071,0,100,0.59
65.171,0,100.006,0.59
65.171,0,100.006,0.59
65.271,0,100.011,0.59
65.271,0,100.011,0.59
65.371,0,100.011,0.59
65.371,0,100.011,0.59
65.471,0,100.017,0.59
65.471,0,100.017,0.59
65.571,0,100.022,0.59
65.571,0,100.022,0.59
65.671,0,100.028,0.59
65.671,0,100.028,0.59
65.771,0,100.033,0.6
65.771,0,100.033,0.6
